nombre_original,nombre_normalizado,id,presentacion,tolerancia,match_catalogo,marca_catalogo,categoria_catalogo,precio_ref_catalogo,score,estatus
"ABRILLANTADOR PARA FRUTAS Y PAN EN GEL, CUBETA DE 5 KG",ABRILLANTADOR FRUTAS PAN GEL,INS-2017FF554C,5 kg,,,,,,58,FALTA_EN_CATALOGO
"ACEITE DE AJONJOLÍ EXTRA VIRGEN, BOTELLA CON 250 ML CON TOLERANCIA DE +/- 10%",ACEITE AJONJOLI EXTRA VIRGEN,INS-B7C6ADE772,250 ml,+/-10%,ACEITE DE AJONJOLI (250 ML),INES,ABARROTES,133.05,94,YA_EN_CATALOGO
"ACEITE DE COCO PRESENTACIÓN DE BOTE CON 1 KG DE PRIMERA CALIDAD CON TOLERANCIA DE +/-10%, DEBERÁ CUMPLIR CON LA NORMA NMX-F-014-SCFI-2012",ACEITE COCO,INS-E3A85019DB,1 kg,+/-10%,ACEITE (1 LT),PATRONA,ABARROTES,62.5,94,YA_EN_CATALOGO
"ACEITE DE OLIVA EXTRA VIRGEN, BOTELLA CON 1 LITRO CON TOLERANCIA DE +/-10%, DEBERÁ CUMPLIR CON LA NORMA NMX-F-109-2014",ACEITE OLIVA EXTRA VIRGEN,INS-3CE223BDFE,1 litro,+/-10%,ACEITE DE OLIVA (3 LT),MEMBERS MARK,ABARROTES,1171.23,91,YA_EN_CATALOGO
"ACEITE ESPECIAL PARA PALOMITAS SABOR MANTEQUILLA, PRESENTACIÓN GALÓN DE 20 LITROS",ACEITE ESPECIAL PALOMITAS SABOR MANTEQUILLA,INS-A79395AED8,20 litros,,ACEITE (1 LT),PATRONA,ABARROTES,62.5,71,REVISAR
"ACEITE ESPECIAL PARA PALOMITAS SABOR MANTEQUILLA, PRESENTACIÓN: PORRÓN DE 15 LITROS",ACEITE ESPECIAL PALOMITAS SABOR MANTEQUILLA,INS-68864E3074,15 litros,,ACEITE (1 LT),PATRONA,ABARROTES,62.5,71,REVISAR
"ACEITE EXTRA VIRGEN DE TRUFA BLANCA, PRESENTACIÓN DE 250 ML, CON TOLERANCIA DE +/-10%",ACEITE EXTRA VIRGEN TRUFA BLANCA,INS-F3545D4B4F,250 ml,+/-10%,ACEITE (1 LT),PATRONA,ABARROTES,62.5,75,REVISAR
"ACEITE VEGETAL, BOTELLA CON 1 LITRO CON TOLERANCIA DEL +/-10%",ACEITE VEGETAL,INS-0560E40CA3,1 litro,+/-10%,ACEITE (1 LT),PATRONA,ABARROTES,62.5,89,YA_EN_CATALOGO
"ACEITE VEGETAL, PRESENTACIÓN DE 20 LITROS, CON TOLERANCIA DE +/- 10%",ACEITE VEGETAL,INS-E11E0970E4,20 litros,+/-10%,ACEITE (1 LT),PATRONA,ABARROTES,62.5,89,YA_EN_CATALOGO
ACEITUNA NEGRA SIN HUESO Y SIN RELLENO LATA CON 350 GR TOLERANCIA DE +/-10%,ACEITUNA NEGRA HUESO RELLENO,INS-78BD8D6A4B,350 gr,+/-10%,,,,,59,FALTA_EN_CATALOGO
"ACEITUNA NEGRA SIN HUESO Y SIN RELLENO, FRASCO CON 170 GR CON TOLERANCIA DE +/-10%",ACEITUNA NEGRA HUESO RELLENO,INS-AB05EB2D59,170 gr,+/-10%,,,,,59,FALTA_EN_CATALOGO
"ACEITUNA NEGRA SIN HUESO, SIN RELLENO Y REBANADAS, BOTE CON 3.05 KG Y MASA DRENADA: 1.56 KG CON TOLERANCIA DE +/-10%",ACEITUNA NEGRA HUESO RELLENO REBANADAS,INS-52FCB53DF2,3.05 kg,+/-10%,,,,,55,FALTA_EN_CATALOGO
"ACEITUNA VERDE SIN HUESO Y SIN RELLENO, LATA CON 350 GR CON TOLERANCIA DE +/-10%",ACEITUNA VERDE HUESO RELLENO,INS-459997583B,350 gr,+/-10%,,,,,59,FALTA_EN_CATALOGO
"ACELGA AMARILLA, TEMPERATURA: MENOR A 4°C Y MAYOR A 0°C, ASPECTO: LIBRE DE MAGULLADURAS Y DAÑOS FISIOLÓGICOS, HOJAS DE COLOR VERDE BRILLANTE DE TALLO COLOR BLANCO ATRACTIVO Y BIEN PRESENTADO, SABOR: FRESCO DE TEXTURA CRUJIENTE, OLOR: CARACTERÍSTICO DE LA VARIEDAD, TACTO: HOJA DELGADA DE SUPERFICIE LISA, LIBRE DE POLVO, TIERRA, LIBRE DE HUMEDAD Y SIN PICADURA DE INSECTOS U OTRAS MATERIAS INDESEABLES, PRESENTACIÓN DE UNA BOLSA DE 1 KG",ACELGA AMARILLA,INS-4149602806,1 kg,,ACELGA,KG,FRUTAS Y VERDURAS,89.41,88,YA_EN_CATALOGO
"ACELGA ROJA, TEMPERATURA: MENOR A 4°C Y MAYOR A 0°C, ASPECTO: LIBRE DE MAGULLADURAS Y DAÑOS FISIOLÓGICOS, HOJAS DE COLOR VERDE BRILLANTE DE TALLO COLOR BLANCO ATRACTIVO Y BIEN PRESENTADO, SABOR: FRESCO DE TEXTURA CRUJIENTE, OLOR: CARACTERÍSTICO DE LA VARIEDAD, TACTO: HOJA DELGADA DE SUPERFICIE LISA, LIBRE DE POLVO, TIERRA, LIBRE DE HUMEDAD Y SIN PICADURA DE INSECTOS U OTRAS MATERIAS INDESEABLES, PRESENTACIÓN DE UNA BOLSA DE 1 KG",ACELGA ROJA,INS-1D1281A9DD,1 kg,,ACELGA,KG,FRUTAS Y VERDURAS,89.41,94,YA_EN_CATALOGO
"ACELGA, TEMPERATURA: MENOR A 4°C Y MAYOR A 0°C, ASPECTO: LIBRE DE MAGULLADURAS Y DAÑOS FISIOLÓGICOS, HOJAS DE COLOR VERDE BRILLANTE DE TALLO COLOR BLANCO ATRACTIVO Y BIEN PRESENTADO, SABOR: FRESCO DE TEXTURA CRUJIENTE, OLOR: CARACTERÍSTICO DE LA VARIEDAD, TACTO: HOJA DELGADA DE SUPERFICIE LISA, LIBRE DE POLVO, TIERRA, LIBRE DE HUMEDAD Y SIN PICADURA DE INSECTOS U OTRAS MATERIAS INDESEABLES, PRESENTACIÓN DE UNA BOLSA DE 1 KG",ACELGA,INS-19D5352036,1 kg,,ACELGA,KG,FRUTAS Y VERDURAS,89.41,100,YA_EN_CATALOGO
"ACHIOTE EN PASTA, CAJA CON 110 GR CON TOLERANCIA DE +/-10%",ACHIOTE PASTA,INS-43BE6FD629,110 gr,+/-10%,ACHIOTE (100 GR),LA ANITA,ABARROTES,22.32,94,YA_EN_CATALOGO
"ACHIOTE EN PASTA, CAJA DE 1 KG CON TOLERANCIA DE +/-10%",ACHIOTE PASTA,INS-C81E1F1B14,1 kg,+/-10%,ACHIOTE (100 GR),LA ANITA,ABARROTES,22.32,94,YA_EN_CATALOGO
"ADEREZO PARA NACHOS, BOTELLA CON 750 GR CON TOLERANCIA DE +/- 10%",ADEREZO NACHOS,INS-8864A90D29,750 gr,+/-10%,ADEREZO CESAR (710 ML),MEMBERS MARK,ABARROTES,162.14,72,REVISAR
